date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-11-14,0,human_1,23:23:54.843,no_helmet,0.82,frames/frame_000000.jpg
2025-11-14,7,human_1,23:23:58.186,no_gloves,0.65,frames/frame_000007.jpg
2025-11-14,16,human_2,23:24:02.796,no_helmet,0.81,frames/frame_000016.jpg
2025-11-14,17,human_2,23:24:03.312,no_vest,0.72,frames/frame_000017.jpg
2025-11-14,27,human_3,23:24:08.401,no_vest,0.66,frames/frame_000027.jpg
2025-11-14,29,human_4,23:24:09.408,no_helmet,0.8,frames/frame_000029.jpg
2025-11-14,29,human_4,23:24:09.408,no_vest,0.68,frames/frame_000029.jpg
2025-11-14,29,human_4,23:24:09.408,no_gloves,0.83,frames/frame_000029.jpg
2025-11-14,30,human_5,23:24:09.912,no_helmet,0.74,frames/frame_000030.jpg
2025-11-14,30,human_5,23:24:09.912,no_vest,0.66,frames/frame_000030.jpg
2025-11-14,31,human_5,23:24:10.434,no_gloves,0.69,frames/frame_000031.jpg
2025-11-14,35,human_6,23:24:12.454,no_helmet,0.79,frames/frame_000035.jpg
2025-11-14,36,human_6,23:24:12.962,no_vest,0.68,frames/frame_000036.jpg
2025-11-14,41,human_6,23:24:15.546,no_gloves,0.76,frames/frame_000041.jpg
2025-11-14,49,human_7,23:24:19.671,no_helmet,0.7,frames/frame_000049.jpg
2025-11-14,50,human_7,23:24:20.167,no_vest,0.7,frames/frame_000050.jpg
2025-11-14,50,human_7,23:24:20.167,no_gloves,0.66,frames/frame_000050.jpg
2025-11-14,60,human_8,23:24:25.320,no_helmet,0.71,frames/frame_000060.jpg
2025-11-14,61,human_8,23:24:25.845,no_gloves,0.68,frames/frame_000061.jpg
2025-11-14,64,human_9,23:24:27.363,no_helmet,0.67,frames/frame_000064.jpg
2025-11-14,66,human_9,23:24:28.377,no_gloves,0.7,frames/frame_000066.jpg
2025-11-14,68,human_10,23:24:29.388,no_gloves,0.77,frames/frame_000068.jpg
2025-11-14,69,human_10,23:24:29.901,no_helmet,0.66,frames/frame_000069.jpg
2025-11-14,72,human_11,23:24:31.421,no_helmet,0.69,frames/frame_000072.jpg
2025-11-14,72,human_11,23:24:31.421,no_gloves,0.76,frames/frame_000072.jpg
2025-11-14,76,human_12,23:24:33.454,no_gloves,0.68,frames/frame_000076.jpg
2025-11-14,77,human_12,23:24:33.963,no_helmet,0.74,frames/frame_000077.jpg
2025-11-14,78,human_12,23:24:34.467,no_vest,0.65,frames/frame_000078.jpg
2025-11-14,87,human_13,23:24:39.095,no_helmet,0.77,frames/frame_000087.jpg
2025-11-14,87,human_13,23:24:39.096,no_vest,0.66,frames/frame_000087.jpg
2025-11-14,88,human_13,23:24:39.637,no_gloves,0.75,frames/frame_000088.jpg
2025-11-14,93,human_14,23:24:42.213,no_helmet,0.66,frames/frame_000093.jpg
2025-11-14,104,human_14,23:24:47.889,no_vest,0.74,frames/frame_000104.jpg
2025-11-14,105,human_14,23:24:48.423,no_gloves,0.75,frames/frame_000105.jpg
2025-11-14,110,human_15,23:24:50.903,no_helmet,0.72,frames/frame_000110.jpg
2025-11-14,111,human_15,23:24:51.444,no_vest,0.71,frames/frame_000111.jpg
2025-11-14,113,human_15,23:24:52.440,no_gloves,0.66,frames/frame_000113.jpg
2025-11-14,140,human_16,23:25:06.248,no_helmet,0.68,frames/frame_000140.jpg
2025-11-14,148,human_17,23:25:10.320,no_gloves,0.76,frames/frame_000148.jpg
2025-11-14,149,human_17,23:25:10.856,no_helmet,0.66,frames/frame_000149.jpg
2025-11-14,155,human_17,23:25:13.910,no_vest,0.75,frames/frame_000155.jpg
2025-11-14,158,human_18,23:25:15.419,no_helmet,0.82,frames/frame_000158.jpg
2025-11-14,161,human_18,23:25:16.939,no_vest,0.7,frames/frame_000161.jpg
2025-11-14,164,human_19,23:25:18.485,no_vest,0.76,frames/frame_000164.jpg
2025-11-14,164,human_19,23:25:18.485,no_gloves,0.79,frames/frame_000164.jpg
2025-11-14,165,human_20,23:25:18.990,no_helmet,0.82,frames/frame_000165.jpg
2025-11-14,165,human_20,23:25:18.990,no_gloves,0.75,frames/frame_000165.jpg
2025-11-14,166,human_20,23:25:19.501,no_vest,0.66,frames/frame_000166.jpg
2025-11-14,171,human_21,23:25:22.047,no_helmet,0.74,frames/frame_000171.jpg
2025-11-14,172,human_21,23:25:22.548,no_vest,0.72,frames/frame_000172.jpg
2025-11-14,172,human_21,23:25:22.549,no_gloves,0.73,frames/frame_000172.jpg
2025-11-14,173,human_22,23:25:23.090,no_vest,0.7,frames/frame_000173.jpg
2025-11-14,173,human_22,23:25:23.090,no_gloves,0.72,frames/frame_000173.jpg
2025-11-14,174,human_22,23:25:23.577,no_helmet,0.83,frames/frame_000174.jpg
2025-11-14,180,human_23,23:25:26.629,no_helmet,0.82,frames/frame_000180.jpg
2025-11-14,180,human_23,23:25:26.629,no_vest,0.77,frames/frame_000180.jpg
2025-11-14,181,human_24,23:25:27.150,no_helmet,0.83,frames/frame_000181.jpg
2025-11-14,181,human_24,23:25:27.150,no_vest,0.69,frames/frame_000181.jpg
2025-11-14,181,human_24,23:25:27.150,no_gloves,0.73,frames/frame_000181.jpg
