date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-12-05,10,human_1,21:57:27.349,no_helmet,0.8,frames/frame_000010.jpg
2025-12-05,10,human_1,21:57:27.350,no_vest,0.77,frames/frame_000010.jpg
2025-12-05,39,human_2,21:57:30.570,no_helmet,0.85,frames/frame_000039.jpg
2025-12-05,39,human_2,21:57:30.570,no_vest,0.86,frames/frame_000039.jpg
2025-12-05,108,human_3,21:57:40.545,no_vest,0.81,frames/frame_000108.jpg
2025-12-05,136,human_3,21:57:43.765,no_helmet,0.78,frames/frame_000136.jpg
2025-12-05,278,human_6,21:58:08.501,no_vest,0.75,frames/frame_000278.jpg
2025-12-05,294,human_5,21:58:11.128,no_vest,0.85,frames/frame_000294.jpg
2025-12-05,362,human_7,21:58:19.573,no_vest,0.84,frames/frame_000362.jpg
2025-12-05,565,human_14,21:59:36.376,no_vest,0.42,frames/frame_000565.jpg
2025-12-05,575,human_15,21:59:38.394,no_vest,0.64,frames/frame_000575.jpg
2025-12-05,608,human_17,21:59:45.007,no_vest,0.54,frames/frame_000608.jpg
2025-12-05,614,human_17,21:59:45.895,no_helmet,0.7,frames/frame_000614.jpg
2025-12-05,620,human_17,21:59:47.035,no_gloves,0.58,frames/frame_000620.jpg
2025-12-05,843,human_21,22:00:17.052,no_vest,0.67,frames/frame_000843.jpg
2025-12-05,845,human_21,22:00:17.304,no_helmet,0.6,frames/frame_000845.jpg
2025-12-05,857,human_23,22:00:18.733,no_vest,0.66,frames/frame_000857.jpg
2025-12-05,865,human_22,22:00:19.897,no_helmet,0.6,frames/frame_000865.jpg
2025-12-05,868,human_21,22:00:20.301,no_gloves,0.55,frames/frame_000868.jpg
2025-12-05,880,human_22,22:00:21.973,no_vest,0.73,frames/frame_000880.jpg
2025-12-05,887,human_24,22:00:22.818,no_vest,0.72,frames/frame_000887.jpg
2025-12-05,891,human_25,22:00:23.412,no_vest,0.56,frames/frame_000891.jpg
2025-12-05,958,human_26,22:00:35.918,no_vest,0.78,frames/frame_000958.jpg
2025-12-05,973,human_27,22:00:39.526,no_vest,0.69,frames/frame_000973.jpg
2025-12-05,974,human_28,22:00:39.741,no_vest,0.52,frames/frame_000974.jpg
2025-12-05,985,human_24,22:00:41.980,no_helmet,0.58,frames/frame_000985.jpg
2025-12-05,1026,human_29,22:00:48.923,no_helmet,0.69,frames/frame_001026.jpg
2025-12-05,1026,human_29,22:00:48.923,no_vest,0.73,frames/frame_001026.jpg
2025-12-05,1043,human_29,22:00:51.821,no_gloves,0.59,frames/frame_001043.jpg
2025-12-05,1097,human_31,22:01:01.227,no_vest,0.53,frames/frame_001097.jpg
2025-12-05,1138,human_33,22:01:09.566,no_gloves,0.76,frames/frame_001138.jpg
