date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-11-21,4,human_2,17:38:43.627,no_helmet,0.77,
2025-11-21,31,human_3,17:38:58.083,no_vest,0.75,
2025-11-21,33,human_3,17:38:59.125,no_helmet,0.71,
2025-11-21,38,human_3,17:39:01.804,no_gloves,0.69,
2025-11-21,49,human_4,17:39:07.642,no_vest,0.66,
2025-11-21,50,human_4,17:39:08.140,no_helmet,0.69,
2025-11-21,72,human_5,17:39:19.401,no_helmet,0.69,
2025-11-21,83,human_5,17:39:25.109,no_vest,0.69,
2025-11-21,114,human_6,17:39:41.154,no_helmet,0.69,
2025-11-21,114,human_6,17:39:41.154,no_vest,0.71,
2025-11-21,120,human_7,17:39:44.203,no_vest,0.75,
2025-11-21,121,human_7,17:39:44.733,no_helmet,0.72,
2025-11-21,133,human_9,17:39:50.868,no_helmet,0.73,
2025-11-21,134,human_9,17:39:51.387,no_vest,0.67,
2025-11-21,138,human_10,17:39:53.491,no_helmet,0.81,
2025-11-21,141,human_10,17:39:55.074,no_vest,0.7,
