                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2342,                 5.5084,                 2.3969,                0.02157,                0.14322,                0.01319,                0.00388,                 3.1315,                 16.466,                  4.604,               0.070294,              0.0033007,              0.0033007
                      2,                 2.2896,                 4.8037,                  2.513,                0.43415,                0.16242,                0.09265,                0.03328,                  2.762,                 14.991,                 3.3487,               0.040294,              0.0066339,              0.0066339
                      3,                 2.2219,                 4.6153,                 2.4416,                0.31767,                0.15889,                0.11459,                0.04545,                 2.9491,                 23.134,                 3.3856,               0.010293,              0.0099665,              0.0099665
                      4,                 2.1648,                 4.3971,                 2.3579,                 0.3039,                0.27322,                0.15122,                0.06319,                 2.5135,                 11.291,                 2.9216,              0.0099982,              0.0099982,              0.0099982
                      5,                  2.105,                 4.2165,                 2.2988,                0.59174,                 0.2114,                0.24901,                0.10961,                 2.4614,                 6.4625,                 2.8623,              0.0099968,              0.0099968,              0.0099968
                      6,                 2.1051,                  4.057,                  2.296,                0.40529,                0.33143,                0.25776,                0.11636,                 2.4095,                 6.7865,                 2.6388,               0.009995,               0.009995,               0.009995
                      7,                  2.038,                 3.9846,                 2.2593,                0.46232,                 0.3858,                0.38949,                0.18632,                 2.2215,                 4.5211,                 2.5675,              0.0099928,              0.0099928,              0.0099928
                      8,                 2.0172,                 3.8969,                 2.2778,                0.53504,                0.32872,                0.33171,                0.16095,                 2.1568,                 5.3559,                 2.5316,              0.0099902,              0.0099902,              0.0099902
                      9,                 1.9756,                 3.7035,                 2.2019,                0.58241,                0.44484,                 0.4797,                0.23952,                 2.1203,                 3.6385,                  2.421,              0.0099872,              0.0099872,              0.0099872
                     10,                 1.9534,                  3.649,                 2.1848,                 0.5554,                0.43775,                0.41806,                0.19408,                 2.2756,                 4.3401,                  2.575,              0.0099839,              0.0099839,              0.0099839
                     11,                 1.9781,                 3.6706,                 2.2088,                0.47434,                0.38479,                0.38216,                0.17882,                 2.2102,                 4.5192,                 2.5358,              0.0099801,              0.0099801,              0.0099801
                     12,                 1.9365,                  3.556,                 2.1619,                0.60274,                0.41548,                 0.4467,                0.21656,                 2.1192,                 3.9907,                 2.4651,              0.0099759,              0.0099759,              0.0099759
                     13,                 1.9204,                 3.4388,                 2.1396,                0.67399,                 0.4631,                0.51713,                0.26528,                 2.0142,                 3.6748,                 2.3331,              0.0099713,              0.0099713,              0.0099713
                     14,                 1.9071,                 3.3913,                  2.138,                0.57373,                0.48585,                0.52042,                0.26812,                 1.9854,                 3.5334,                  2.352,              0.0099663,              0.0099663,              0.0099663
                     15,                 1.8724,                 3.2883,                 2.1022,                0.48721,                0.52345,                0.48834,                0.23846,                 2.1191,                 3.7174,                 2.4029,               0.009961,               0.009961,               0.009961
                     16,                 1.8604,                 3.3008,                 2.1006,                0.68566,                0.50408,                 0.5538,                0.29639,                 2.0032,                 3.3627,                 2.3437,              0.0099552,              0.0099552,              0.0099552
                     17,                 1.8706,                  3.298,                 2.1139,                0.57195,                0.47156,                0.52872,                0.27815,                 1.9725,                 3.3941,                 2.3023,               0.009949,               0.009949,               0.009949
                     18,                 1.8317,                 3.1959,                 2.0709,                0.65836,                0.51855,                 0.5817,                0.30127,                 1.9612,                   3.14,                 2.2875,              0.0099425,              0.0099425,              0.0099425
                     19,                 1.8204,                 3.0929,                 2.0472,                0.69414,                0.49517,                 0.5698,                0.30225,                 1.9698,                 3.1015,                 2.2852,              0.0099355,              0.0099355,              0.0099355
